Date,adm0_a3,Province/State,Country/Region,Lat,Long,Population,Confirmed,r_Confirmed,i_Confirmed,ri_Confirmed,Tot_Confirmed,iTot_Confirmed,rTot_Confirmed,riTot_Confirmed,Deaths,r_Deaths,i_Deaths,ri_Deaths,Tot_Deaths,iTot_Deaths,rTot_Deaths,riTot_Deaths
2/7/22,CHN,Unknown,China,,,,14255,,46.0,,120779,151.0,8.5672,0.0107,0,,0.0,,4636,0.0,0.3288,0.0
2/7/22,CHN,Xinjiang,China,41.1129,85.2401,25852345.0,996,3.8526,0.0,0.0,120779,151.0,8.5672,0.0107,3,0.0116,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Yunnan,China,24.974,101.487,47209277.0,1884,3.9907,0.0,0.0,120779,151.0,8.5672,0.0107,2,0.0042,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Zhejiang,China,29.1832,120.0934,64567588.0,2241,3.4708,0.0,0.0,120779,151.0,8.5672,0.0107,1,0.0015,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,COL,NA,Colombia,4.5709,-74.2973,50882884.0,5975786,11744.1967,9080.0,17.8449,5975786,9080.0,11744.1967,17.8449,135992,267.2647,235.0,0.4618,135992,235.0,267.2647,0.4618
2/7/22,COM,NA,Comoros,-11.6455,43.3333,869595.0,7964,915.8286,20.0,2.2999,7964,20.0,915.8286,2.2999,160,18.3994,0.0,0.0,160,0.0,18.3994,0.0
2/7/22,COG,NA,Congo (Brazzaville),-0.228,15.8277,5518092.0,23792,431.1635,87.0,1.5766,23792,87.0,431.1635,1.5766,375,6.7958,4.0,0.0725,375,4.0,6.7958,0.0725
2/7/22,COD,NA,Congo (Kinshasa),-4.0383,21.7587,89561404.0,85686,95.6729,176.0,0.1965,85686,176.0,95.6729,0.1965,1316,1.4694,38.0,0.0424,1316,38.0,1.4694,0.0424
2/7/22,CRI,NA,Costa Rica,9.7489,-83.7534,5094114.0,733708,14403.0542,11737.0,230.4032,733708,11737.0,14403.0542,230.4032,7694,151.0371,53.0,1.0404,7694,53.0,151.0371,1.0404
2/7/22,CIV,NA,Cote d'Ivoire,7.54,-5.5471,26378275.0,80938,306.8358,18.0,0.0682,80938,18.0,306.8358,0.0682,787,2.9835,1.0,0.0038,787,1.0,2.9835,0.0038
2/7/22,HRV,NA,Croatia,45.1,15.2,4105268.0,985050,23994.7794,1270.0,30.9359,985050,1270.0,23994.7794,30.9359,14194,345.7509,57.0,1.3885,14194,57.0,345.7509,1.3885
2/7/22,CUB,NA,Cuba,21.5218,-77.7812,11326616.0,1054909,9313.5408,1349.0,11.91,1054909,1349.0,9313.5408,11.91,8443,74.5412,4.0,0.0353,8443,4.0,74.5412,0.0353
2/7/22,CYP,NA,Cyprus,35.1264,33.4299,1207361.0,273634,22663.8097,0.0,0.0,273634,0.0,22663.8097,0.0,745,61.7048,0.0,0.0,745,0.0,61.7048,0.0
2/7/22,CZE,NA,Czechia,49.8175,15.473,10708982.0,3243698,30289.5084,9127.0,85.2275,3243698,9127.0,30289.5084,85.2275,37478,349.9679,29.0,0.2708,37478,29.0,349.9679,0.2708
2/7/22,FRO,Faroe Islands,Denmark,61.8926,-6.9118,48865.0,24360,49851.632,354.0,724.4449,24360,354.0,49851.632,724.4449,20,40.9291,0.0,0.0,20,0.0,40.9291,0.0
2/7/22,GRL,Greenland,Denmark,71.7069,-42.6043,56772.0,11077,19511.3788,52.0,91.5944,11077,52.0,19511.3788,91.5944,6,10.5686,0.0,0.0,6,0.0,10.5686,0.0
2/7/22,DNK,NA,Denmark,56.2639,9.5018,5837213.0,2037891,34912.0548,34849.0,597.0144,2037891,34849.0,34912.0548,597.0144,3909,66.9669,28.0,0.4797,3909,28.0,66.9669,0.4797
2/7/22,DJI,NA,Djibouti,11.8251,42.5903,988002.0,15524,1571.2519,14.0,1.417,15524,14.0,1571.2519,1.417,189,19.1295,0.0,0.0,189,0.0,19.1295,0.0
2/7/22,DMA,NA,Dominica,15.415,-61.371,71991.0,10000,13890.6252,278.0,386.1594,10000,278.0,13890.6252,386.1594,51,70.8422,0.0,0.0,51,0.0,70.8422,0.0
2/7/22,DOM,NA,Dominican Republic,18.7357,-70.1627,10847904.0,563657,5195.9992,1044.0,9.624,563657,1044.0,5195.9992,9.624,4329,39.9063,4.0,0.0369,4329,4.0,39.9063,0.0369
